headline,short_description,authors,date
The Cheesecake Factory Phenomenon,"There's something funny about The Cheesecake Factory. It seems no matter what time you go and no matter which location you visit, there's a wait to get in.","Deirdre Maloney, ContributorPresident of Momentum LLC, Speaker, Author of Tough Truths",2015-06-08
"Trailblazing Women: Ruth Owades, CEO, Serial Entrepreneur and Corporate Director","Ms. Owades is a serial entrepreneur, CEO and Corporate Director. Two of the companies she founded are subjects of Harvard Business School case studies which are taught around the world.
Business Week hailed Ms. Owades as a ""Best Entrepreneur,"" honoring her for ""changing the way we buy flowers.""","Anne Ravanona, ContributorFounder & CEO of Global Invest Her, focused on demystifyin...",2015-06-06
The Blueprint of Business Strategy Is the Business Model,"Osterwalder's mission is to help companies innovate with the best tools using sound business models and value propositions. In order to better understand his vision and mission, I asked Osterwalder to provide a high-level overview of business model innovation.","Vala Afshar, ContributorChief Digital Evangelist, Salesforce",2015-06-06
The Six Things the Most Productive People Do Every Day,I admit I stole this title. Part of being productive is to piggyback on the shoulders of greatness. So I decided to write down what six things I do every day that help me with productivity. They make work for you. Or not. They work for me although I always need to improve.,"James Altucher, ContributorAuthor and Entrepreneur",2015-06-05
Northeast Ohio and the San Francisco Bay Area Have More in Common than NBA MVPs and Championship Games,"Whether it is on the basketball court or in the venture capital industry's efforts to advance the progress and impact of tech-based entrepreneurs, leaders from Silicon Valley and Cleveland have much to learn from each other.","Ray Leach, ContributorCEO, JumpStart Inc.",2015-06-05
What Murphy Showed Me on Memorial Day that Every Producer Should Know,"Like with anything, there's good and bad. Not all firms do a great job at inspiring and setting their producers up for success. Does yours?","Michael Goldberg, ContributorAuthor, speaker, sales consultant, boxer",2015-06-04
10 Father's Day Gifts for the Business Owner,"Let's be honest -- his business is basically is baby, a younger sibling for you!","Diana Mackie, ContributorFashion Writer & Marketing Expert",2015-06-04
How Clean Energy Works for Colorado,"Smart clean energy policies like Colorado's percent renewable energy portfolio standard and the now-expired federal production tax credit for wind have created tens of thousands of jobs, attracted billions in new investment and generated serious economic growth in the state.","Bob Keefe, ContributorExecutive Director, Environmental Entrepreneurs (E2)",2015-06-03
5 Money-Saving Strategies for Your Business,"I'm fortunate: My business is low-cost to operate. I just need a computer and a broadband Internet connection, and I'm set. Other small business owners I know, however, have a more difficult time-saving money when it comes to their businesses. They have more moving parts to manage.","Miranda Marquit, ContributorFreelance journalist and financial expert",2015-06-02
So You Want to Be an Entrepreneur? 4 Reasons to Think Twice,"While the idea of working for yourself is hotter than ever, the story of the entrepreneurial whiz kid who drops out of college and hits it big is largely a myth.","Beth Kobliner, ContributorAuthor of 'Get a Financial Life' and 'Make Your Kid a Money Ge...",2015-06-02
Slow Down to Go Fast,"Regardless of how fast your company is today, the marketplace expects and rewards being faster and more nimble. Current success proves that correct choices were made yesterday.","Randy Pennington, ContributorAward-winning author, Strategic advisor to leaders, fan of mov...",2015-06-02
New Era Challenges to Growth,Challenges to growth are nothing new. But these challenges are now changing with shifts in culture.,"Jonathan Hall, ContributorPresident of Added Value, a Strategic Global Consultancy Agency",2015-06-01
'Why Did You Have to Wait Until I Resigned to Let Me Know You Appreciated Me?',"A manager in one of my leadership workshops recounted the sad story of how one of her team members reacted to the heartfelt speech she had made recognizing his contributions on his last day with the company. Unfortunately, this scenario of ""too little to late"" is far from uncommon.","Aenslee Tanner, ContributorLeadership Coach and Founder of Mention It",2015-06-01
"Women in Business Q&A:  Katie Moore, Program Director, Animal Rescue, International Fund for Animal Welfare",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-31
"Women in Business Q&A: Amy Allen, Head of User Acquisition, Qmee",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-30
How to Market Your Business While Traveling the World,"I was recently on an amazing cruise with my wife in the Caribbean. During this time, I was forced to work on cruise Wi-Fi as well as internet hotspots. I was able to live the life I wanted while traveling the world... all while marketing my company online. It actually grew ten percent while I was gone.","John Rampton, ContributorEntrepreneur, online marketing guru and startup addict",2015-05-30
5 Ways to Bring Humanity Into the Workplace,"Enlightened, successful organizations understand that people are at the core of their success. Decades of experiments have proven that happy employees are better at creative problem solving, which drives engagement and financial results.","Eric Mosley, ContributorCEO of Globoforce",2015-05-29
Failure: We're Doing It All Wrong,"When we interpret failure as a lack of success or an inability, we're doing it wrong. Many of the world's most successful people have failed handfuls of times, and they're greater innovators for it, not the opposite.","Rebekah Iliff, ContributorChief Strategy Officer, AirPR",2015-05-29
5 Ways to Tell if Your Content Is Working,"You've got a blog set up and you're writing furiously, posting every week to get more attention for your brand. Everything you've read tells you that content marketing is both cost-efficient and effective for building a brand reputation and getting more customers, but there's no immediate gauge to tell you whether or not your content is working the way you want it to.","Jose Vasquez, ContributorPresident and CEO, QuezMedia.com",2015-05-28
Venture Capital Investing -- Less for Your Dollars,"Venture capital investing has a tendency to be boring. Unless you're a passive investor, it can give you a massive amount of work for a lot of risk with a diminished return. Of course as a passive investor, you merely just invest and sit back.","Chad Hagan, Contributorwww.chadhagan.com",2015-05-28
"Women in Business Q&A: Lara Fitch, Founder and CEO, Strolby",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-28
Ladies From the Shark Tank,"Excellent advice from two ladies continuing massive growth of their now successful business, a business we're sure to see a lot of in the years to come, and proof that anything is possible.","Amy Wright, ContributorHelping Women in Business Get Their Sh*t Together www.amywrigh...",2015-05-27
The Age of Viral Recalls Is Just Beginning,"We seem to be in the midst of an epidemic of product recalls, especially the recall of Takata airbags, which may be the biggest consumer product recall in history. But is it an epidemic? Are we really living in a minefield of killer products?","Eric Dezenhall, ContributorCEO, Dezenhall Resources",2015-05-27
ALF Real Estate Investment - Assisted Living Facilities,"The baby boomers are coming, and smart investors are checking out real estate investment opportunities. Current estimates are that 10,000 boomers are turning 65 every day.","Scott Yancey, ContributorTV personality, businessman, real estate investor, world class...",2015-05-27
Venezuela: World's Highest Inflation Rate,"Venezuela's bolivar is collapsing. And as night follows day, Venezuela's annual implied inflation rate is soaring. Last week, the annual inflation rate broke through the 500% level. It now stands at 510%.","Steve H. Hanke, ContributorProfessor of Applied Economics at The Johns Hopkins University...",2015-05-27
"Creating a Structured, Repeatable Process for Innovation","Established companies do not easily reinvent themselves. History shows us that Innovation is often the strategy of startups - but not only is it important in getting to the top, innovation is necessary in order to stay on top.","Robert F. Brands, ContributorFounder, InnovationCoach.com",2015-05-27
Succession Planning for Business: What You Need to Know Now About the Call You Never Want to Make,"Psychics aren't the only people asked to predict the future. When it comes to succession planning, lawyers ask their business clients to do it all the time. My discussions about succession planning often start out somewhat reminiscent of Alice's chat with the Cheshire Cat in Lewis Carroll's Alice in Wonderland.","Eliot M. Wagonheim, ContributorLawyer, writer, educator, and strategist. Counsel to innovator...",2015-05-26
The Urban Housing Crunch Costs the U.S. Economy About $1.6 Trillion a Year,,,2015-05-26
3 Leadership Lessons From my 16-Year-Old Hipster,"To him I may be a dork who doesn't know how to dress, but I am his dad and I count myself very lucky to have a 16 year old son who lets me, hug, love and teach him.","Elliot Begoun, ContributorWorking to grow businesses and business leaders. Consultant, T...",2015-05-26
"Women in Business Q&A: Madison Robinson, Founder, FishFlops","Madison Nicole Robinson is a 17-year-old designer best known as the creator of FishFlops®, a popular line of footwear for kids and young adults. Madison was born on Galveston Island, Texas and spent many days on Galveston beaches with her family.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-25
"Women in Business Q&A: Professor Linda Scott, DP World Chair for Entrepreneurship and Innovation, University of Oxford, Said Business School","Professor Scott works with multinational companies, NGOs, and governments on programs designed to help women economically. She also curates Power Shift: The Oxford Forum for Women in the World Economy, an annual symposium.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-25
REPORT: Charter Near $55 Billion Deal To Acquire Time Warner Cable,,,2015-05-25
"Women in Business Q&A: Pam Fletcher, Executive Chief Engineer for 2016 Chevrolet Volt",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-24
Affordable Fast Food That's Good for You? What a Concept,,"Richard Zombeck, ContributorRichard Zombeck is a freelance writer and a podcaster at TandZ...",2015-05-24
10 Most Expensive Wars In U.S. History,,,2015-05-24
How to Build a Mobile Community,"Building a mobile community is the same as building any community... engage, interact, add value and show support for the group and what is important to them.","Ted Rubin, ContributorSocial Marketing Strategist, Keynote Speaker, Brand Evangelist...",2015-05-23
"Women in Business Q&A: Sam King, Vice President of Strategy and Corporate Development, Veracode",Ms. King serves as a mentor for the Boston Product Management Association and is an executive member of the working mothers group in her town. She loves to travel and enjoys rock climbing and yoga.,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-23
Should You Pay Off Your Student Loans With an Upstart Loan?,"Now, Upstart acts more as a lender and issues personal loans that can be used by the borrower to pay off outstanding debt, help fund your education or pay of your student loans.","Credible, ContributorCredible enables college students and graduates to compare per...",2015-05-23
"Women in Business Q&A: Roxane Divol, SVP and GM, Trust Services, Symantec","As the General Manager (GM) of Symantec's Trust Services, Roxane Divol is responsible for the end-to-end optimization and growth of the Trust Services business. This business offers industry leading SSL certificates, code signing, and certificate management offerings.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-22
Failing My Way to Success in Brazil,In order to succeed in foreign countries a startup needs to know the language and the culture of the country they operate in or they're doomed to failure. This week I'm going to tell you how I failed my way to success in Brazil.,"Ryan McMunn, ContributorFounder and CEO, BRIC Language Systems",2015-05-21
"Sharene Wood: Balancing Marriage, Motherhood and Career","Sharene Wood is a pioneer in couture urban fashion. If Jacob the Jeweler is the first stop for hip hop artists to show their arrival, then 5001 FLAVORS is the shop for a custom wardrobe MTV red carpet worthy. I recently sat down with Sharene talk about how she balances it all.","Ronda Lee, ContributorAttorney-Writer-Entrepreneur",2015-05-21
Viva la Verification! Addressing Online Ad Fraud,"Online ad fraud is costing millions. Every year advertising pounds are wasted because of fraudulent traffic, and if the industry continues on its current course this amount is only set to grow.","Alvin Bowles, ContributorSVP Business Development Video of blinkx and former CEO of Gra...",2015-05-21
"Annuities, Experts and My Losing 90 Pounds","I was in a coffee shop, having breakfast with my daughter, Angela Luhys, on a week when my weight loss had reached the 90 pound mark since November. While sharing this great milestone with Angela, the guy in the booth behind me was trying to sell an annuity.","Don McNay, ContributorBest selling lottery and structured settlement expert",2015-05-21
Transformational Planning,I know what you are thinking: Apple is big and has plenty of cash; we are small and there is never enough cash; we can't do transformational thinking and planning. You are wrong!,"Daniel Burrus, ContributorTechnology Futurist, Keynote Speaker, Author",2015-05-20
Organizational Debt Is Like Technical Debt - But Worse,"While technical debt is an understood problem, it turns out startups also accrue another kind of debt -- one that can kill the company even quicker -- organizational debt. Organizational debt is all the people/culture compromises made to ""just get it done"" in the early stages of a startup.","Steve Blank, ContributorAuthor, 'The Startup Owner's Manual' and 'The Four Steps to th...",2015-05-19
"Designing a Business, Concept and Ad Campaign in 5 Days","Pressure does different things to different people -- for some, it helps them to focus and perform, while others simply fall apart.","Soren Petersen, ContributorDesign Research Ph.D.; Author, 'Profit from Design'",2015-05-19
The End of Economics,Why was the economics profession caught unaware by the financial crisis of 2008?  Why did their models fail to predict a recession that very nearly became a worldwide depression?,"Lyric Hughes Hale, ContributorEditor of Econvue, a forum for independent voices and expert o...",2015-05-18
Mind Your Own Business -- The Jeffrey Hayzlett Way,Jeffrey Hayzlett is the host of Executive Perspectives and the C-Suite with Jeffrey Hayzlett on C-Suite TV where he uncovers the secrets that entrepreneurs and C-Suite executives use to build their own empires.,"Stacey Alcorn, ContributorAuthor, Speaker, Entrepreneur, Attorney, and Mom",2015-05-18
Why Emotional Intelligence Affects the Bottom Line,"There are five parts of communication -- what's said, what's not said, words, tone of voice, and body language. Active listening is the process of fully attending to all parts of someone's communication.","Anne Loehr, ContributorExpert in Preparing Leaders for the Workforce of the Future.To...",2015-05-18
"Women in Business: Katie Shattuck Markov, Co-founder and CEO of MoveMeFit","Katie Shattuck Markov is co-founder and CEO of MoveMeFit, which aims to transform your fitness experience by optimizing workouts for you. Prior to starting MoveMeFit, Katie worked in product management at SCIenergy, an energy efficiency Software-as-a-Service solution for building systems.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-17
Under Armour Apologizes For Poorly Planned Iwo Jima Shirt,,Alana Horowitz Satlin,2015-05-17
"Women in Business: Catherine Courage, Senior Vice President, Customer Experience, Citrix","As senior vice president of customer experience, Catherine Courage is responsible for championing exceptional design to drive innovation at Citrix. Her team is responsible for company-wide brand, advertising, social, web, product design, information experience, and business process reinvention.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-16
Be a 'Don't Knower': One of Eileen Fisher's Secrets to Success,"Today, Eileen Fisher, Inc. employs over 1,100 people, has over 60 retail stores, and will likely generate over $300 million dollars in revenue in 2015. Between then and now, despite her success, Fisher never lost her ""I don't know"" approach.","Matt Tenney, ContributorAuthor of THE MINDFULNESS EDGE and SERVE TO BE GREAT",2015-05-15
"Go East, Young Man -- Why Hong Kong is the Silicon Valley of the East","Foreign cultures can often seem impenetrable, particularly in Asia. As an American who has frequently traveled to the East, I find that not to be be true. Particularly, in Hong Kong.","April Rudin, ContributorWealth Marketing Strategies, The Rudin Group",2015-05-14
"Think Asia, Think Hong Kong - How Hong Kong Can Be A Springboard For Asia","Hong Kong may be small, but it has big ambitions to serve as a gateway to Asia, home to some of the most vibrant economies in the globe. Fortunately, Hong Kong also holds great potential: low tax rates, world-class airports, seaports, and a remarkably open business environment.","April Rudin, ContributorWealth Marketing Strategies, The Rudin Group",2015-05-13
Earned Media Can Yield Big Rewards for Philanthropy,"Corporate social responsibility (CSR), corporate citizenship, philanthropy, engagement, shared value - regardless of the name you use, this aspect of doing business is here to stay.   And like all core business attributes, communicating about it effectively is critical.","Jennifer Risi, ContributorGlobal Chief Communications Officer & Managing Director of Ogi...",2015-05-13
Conversational Courage: It's Putting Your Intelligence Into Action!,"We all recognize the need for courage to start a business, play competitive sports, incur risks in investments, lead a diverse team in competitive markets, or take on an outback adventure. But do we really need courage to have a conversation?","Judith E. Glaser, ContributorCEO, Benchmark Communications, Inc.; chairman, The Creating WE...",2015-05-12
How to Use VoC Insights from Employees & Customers to Improve Experiences,"We are often asked what sources of VoC insights should be used to improve the company's customer experience. And often, these insights are right in front of you--from your own customers and employees.","Ernan Roman, ContributorPresident, Ernan Roman Direct Marketing",2015-05-12
"Women in Business: Jessica Hawthorne-Castro, Chairman and CEO, Hawthorne Direct",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-11
The Greatest Ever Retail Stock Trader,"Today I want to write about who I believe is beyond a shadow of a doubt, the greatest (ordinary) retail trader who ever lived. Now by ordinary, what I am talking about is an individual who did not go on to create an Investment Fund as a result of his initial institutional trading.","Thaddeus McCarthy, ContributorConnector",2015-05-11
"Women in Business: Asha Dahya, Founder, Girl Talk HQ","Asha Dahya is a host and content creator. She was born in the UK, raised in Australia where she studied a BA with a double major in Film & Journalism, is Indian by ethnicity, and now resides in Los Angeles.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-10
Is Your Outdated Career Map Leading You Astray?,"If you have been tending to your career lovingly for many years, you will be able to visit your career map in light of this new discovery, decide what on the map still resonates with you and what doesn't (even massive changes will carry some elements of your ""old life"" into the new), and chart a new course.","Amanda Yuill, ContributorCareer and Lifestyle Coach, Positive Leadership Consultant, Li...",2015-05-09
4 Unexpected Truths in Entrepreneurship,"As National Small Business Week draws to a close, there is no time like the present to reflect on the advice I've collected, from life experiences and an incredibly supportive mentor base, in my years as the founder and president of a digital marketing agency.","Damian Bazadona, ContributorFounder/President of Situation",2015-05-08
3 Things Call Centers Can Unlock from Uber,The call center industry has not adapted quickly enough to a profound change in consumers over the past several years. Today's consumers are spoiled by breathtakingly simple user experiences on their mobile devices.,"Jason Wesbecher, ContributorCMO of Mattersight",2015-05-07
What It Takes to Become a Billionaire,You're determined. So what? You haven't been racing naked through shark-infested waters yet.,"Justine Musk, Contributornovelist and blogger",2015-05-06
"Enormous, Humongous March Trade Deficit Creating Jobs Elsewhere","We should demand balance. Trade partners should agree to actually ""trade"" with us, not just sell to us. We should also balance the interests of working people, the environment and other stakeholders with the interests of businesses in our trade negotiations.","Dave Johnson, ContributorFellow, Campaign for America's Future",2015-05-06
Principles-Based Regulation and Compliance: A Framework for Sustainable Integrity,"Over the last decade, in unprecedented terms, the dramatic escalation and expansion of risk has complicated the global business environment. Both the speed of this transformation and the new categories of risk that have emerged threaten the durability of most global companies as well as their license to operate.","Harlan Loeb, ContributorProfessor of Crisis & the Court of Public Opinion, Northwester...",2015-05-05
Two Predictions You Can Take to the Bank,,"Dan Solin, ContributorAuthor of the Smartest series of books",2015-05-05
College Mouth,"My daughter is about to graduate from college and was fortunate enough to receive a job offer from a great company. While I'm thrilled for her, I'm simultaneously terrified -- this gives me only a few short weeks to eradicate what we're calling, around my house, a bad case of College Mouth.","Gary Rich, ContributorLeadership Coach",2015-05-05
How to 10X and Get What You Want in Life,"If you want to achieve more in your life, business, and relationships, and set a vision for your life that gets you ecstatic to wake up each morning - meet Jairek Robbins.","Sean Kim, ContributorFounder of http://rypeapp.com",2015-05-04
"Women in Business: Krissy Lefebvre, Co-Founder, All-Star Chef Classic",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-04
"Keeping the Lights on, Part 2","Dealing with these trends and issues requires forward thinking by investors, power companies, legislatures and regulators. That is difficult because we do not have a consensus national energy plan to provide reasonable certainty about which investments will pay off.","William S. Becker, Contributor",2015-05-03
Customer Loyalty Survey Makes a Few Surprising Connections,"Basically, everyone still loves Apple, Amazon and Costco. The report also backs up the trend of people abandoning their cable television provider (many of which had ratings) in favor of online video service Netflix, which had the second highest raise in an NPS score after BlackBerry.","Chris Barnes, ContributorNon-Profit Public Relations Specialist",2015-05-02
"Women in Business: Stacy Simpson, Chief Communications Officer, SapientNitro","Stacy Simpson is the Chief Communications Officer for SapientNitro, part of Publicis Sapient. In this capacity, she oversees global communications, strategic and brand marketing strategies for SapientNitro, as well as the global corporate communications strategy for Sapient.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-02
"Women in Business: Alexandra Knight​, Vice President/Director of Design​ at Korts & Knight, New York Division","Kitchens by Alexandra Knight opened their showroom in the New York Design Center in midtown Manhattan.  Head Designer, Alexi Knight, was literally born to work in the Kitchen & Bath Industry. Her parents, brother, cousin and uncle have all owned high-end, custom cabinet showrooms. Growing up in this professional environment equipped Alexi with the ""tools-of-the-trade"" necessary for entering the high-fashion world of Kitchens.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-05-02
Deliver Results Creating Products and Services That Sell,,"Stephenie Zamora, ContributorFounder, StephenieZamora.com",2015-05-01
Going On Vacation? Don't Pack Your Email,"Some can't relax unless they know there are no fires burning at work, so they check email surreptitiously while their travel companions are planning the day's excursion. Not me, not anymore.","Jessica Wang, ContributorOnline learning executive, mom, runner and MBA student",2015-05-01
The Best Advice For Becoming A Super-Productive Business,,Mallory Moyer,2015-04-30
Go from Great to the Ideal Job Candidate,"How can I outsmart everyone else? The answer lies in being able to present a profile of yourself as a candidate who 'checks all of the boxes' off your prospective employer's candidate wish list.  So, where do you find this wish list? It's right in the job description.","Melissa Llarena, ContributorMy expertise is coaching leaders on how to dissect and deliver...",2015-04-30
What Stephen Curry Can Teach Entrepreneurs,"Stephen Curry, like Google and Harvard, provide great examples on the significance of a wow-factor for budding entrepreneurs. As evidenced, a wow-factor enables a start-up to gain momentum and traction.","Marquis Cabrera, ContributorTech Entrepreneur",2015-04-29
Fighting Against the $15 Minimum Wage,"New Yorkers are fighting for higher wages, with increasing intensity over the past several months. In early April, between 10,000 and 15,000 laborers and students marched on New York. The genesis of the protest seems to be from the fast food industry as well as activist students.","Dan Lambert, ContributorCEO in the Healthcare Education Industry",2015-04-29
3 Steps to Curating Corporate Training,"To plan amazing training sessions that yield significant impact, you will need to understand the work your teams are doing in theory and in practice, and create an appropriate array of courses covering what is required, desired and inspired.","Stephanie Ciccarelli, ContributorCo-founder of Voices.com, entrepreneur, mentor, woman in tech ...",2015-04-28
Decoding the New Face of America: An Interview With dlR USA CEO Carlos de León,"To help businesses understand and adapt to the new, emerging multicultural reality, Carlos de León, CEO of dlR USA, recently shared with me his insights on this interesting yet controversial topic.","Ernesto Sosa, ContributorCEO @ SOWEB | Helping Brands Do More in a Digital World",2015-04-28
"Why I'm a Gold Digger, and You Should Be Too","Men, women and teens are not waiting at home, in an office, or in a place of business, waiting for gold to come to them. They go out and look for it.","Daphne Mallory, ContributorAspiring Television Producer/Foundation Founder - daphnemallor...",2015-04-27
Parting Is Such Sweet Sorrow,"McKinsey recently extolled the virtues of their alumni network, announcing that approximately 450 ex-McKinsey consultants are CEOs of companies with more than $1 billion in annual revenues. This is an impressive statistic underscoring how companies should manage staff departures.","Dante Disparte, ContributorFounder and CEO of Risk Cooperative / Co-author ""Global Risk A...",2015-04-27
Do Nonprofit Directors Face Cyber Security Risk?,"If a nonprofit, like the one described, is attacked, not only will records be compromised, but also the reputation of the agency will be destroyed, probably along with the nonprofit organization itself.","Eugene Fram, ContributorProfessor Emeritus, Saunders College of Business, Rochester In...",2015-04-26
Increase Sales By Being An Example Of Service,Bridget is a project manager for a tech company called Qstream. Her role is essentially to create a strategy to implement technology that has already been purchased in a way that best meets the business needs of the client. She is not in a sales role.,"Matt Tenney, ContributorAuthor of THE MINDFULNESS EDGE and SERVE TO BE GREAT",2015-04-25
"4 Ways Your For-Profit Business Can Do ""Good""","Too many businesses are concerned with making money, and not about creating value. Moving into the new era of startups, we are discovering business models that are making not only a financial impact on our economies, but an environmental impact.","Chirag Kulkarni, ContributorCo-founder of Insightfully",2015-04-25
Innovation in Legal Practice: Beyond the Current Model of Professionalism,"This crisis of representation is not an aberration. It is a structural feature of the system of lawyer professionalism we have built, and it will not go away until we build a different way to deliver the benefits of law to people in need of them.","Oliver R. Goodenough, ContributorProfessor of Law and the Director of the Center for Legal Inno...",2015-04-25
"Women in Business: Nadia Tarazi, Founder, MicroNourish","Nadia is a Multi-Media Producer turned Executive Coach who dramatically improved her own focus and relationship with food through micronutrition, and wanted to help others do the same: she worked with scientists and micronutrient experts to develop the MicroNourish System and online magazine.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-25
Build It Like Chi Bang,"Entrepreneurs come in all shapes and sizes. This one is chiseled as finely as a Michelangelo. As well he should be, his business is bodies. He is the founder and CEO of Chi Bang Bodies, an elite fitness training company from Boston.","Stacey Alcorn, ContributorAuthor, Speaker, Entrepreneur, Attorney, and Mom",2015-04-24
Salesforce CEO Takes Radical Step To Pay Men And Women Equally,"""My job is to make sure that women are treated 100 percent equally at Salesforce in pay, opportunity and advancement.""",Emily Peck,2015-04-23
Earth Day: A Two-step Strategy Makes a Sustainable Difference,"Sustainability is top of mind as this week we mark Earth Day and Arbor Day, tributes aimed at raising respect for the environment. That makes this the perfect moment to note a new Natural Resources Defense Council (NRDC) report that says, ""Brands that place packaging"" into commerce must take more responsibility for its life cycle impact.","Brian Kennell, ContributorPresident and CEO of United States and Canada for the Swiss-ba...",2015-04-22
"Women in Business: Debbie Chinn, Executive Director, Carmel Bach Festival",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-21
Taking Stock of BlackRock,The core problem with this obsession with stock value is that it diverts money away from long-term investments in capital expansion and research and development. The result is a steady decline of productivity which is the key determinant of our economic vigor.,"Jerry Jasinowski, ContributorFmr. President of the National Association of Manufacturers",2015-04-21
Do You Need a Career Sandbox?,"Something I see over and over again in people who want to make a major career change is a fear of ""losing it all"". They get 5, 10, 20 years into a career path, find themselves desperately wanting to try something new, but assume that if their new venture doesn't succeed they will lose everything.","Amanda Yuill, ContributorCareer and Lifestyle Coach, Positive Leadership Consultant, Li...",2015-04-20
Using the Right Innovation Tool for the Right Innovation Job,,"Jeff DeGraff, ContributorAuthor, thought leader and innovation expert.",2015-04-20
I'm Buying a Wristable,"Once again Apple has confounded the digibabblists, perplexed their competitors, baffled the analysts, and in general annoyed and irritated all the self-proclaimed digital-first... or is it mobile-first?... or perhaps our proclamation of the day should be wearable-first... experts, pundits and gurus.","David Sable, ContributorGlobal CEO, Y&R",2015-04-20
Nonprofit Boards Prepare -- The Millennial Workforce Is Coming!,"Yes, the millennials are coming! The research shows that their values relate well to missions of many nonprofit organizations. To interest the best and the brightest, nonprofit workplaces, as experienced by older generations, will need to change in strange ways!","Eugene Fram, ContributorProfessor Emeritus, Saunders College of Business, Rochester In...",2015-04-19
Workers Seeking Productivity In A Pill Are Abusing ADHD Drugs,,,2015-04-19
9 Ways 'Wasting Time' Can Boost Your Career,"Reading blogs, watching videos on YouTube, or reading a book unrelated to your work are all things that really career-focused people sometimes see as wasting time. But actually, these activities can help us discover new things, make new connections, come up with innovative solutions, and challenge our current thinking.","Bernard Marr, ContributorBest-Selling Author, Keynote Speaker and Leading Business and ...",2015-04-18
Individual Character: It's Still an Important Factor in Success,"Character development is a lifelong pursuit.  There must be a willingness to admit to mistakes, take a step back, and make a conscience decision to work toward self-improvement.","S. L. Young, ContributorAuthor, blogger, project/program leader, professor, social ent...",2015-04-18
The Future of Workplace Lighting: 6 Lighting Experts Weigh In,"When done properly, the best lighting design is completely unnoticeable. Yet, when poorly done, lighting can completely compromise the design of a space.","Amanda Schneider, ContributorI write about the future of work and how it affects those who ...",2015-04-17
Converting Problems Into Opportunities: Communication in the Workplace,"Communication. A word that has so much meaning and importance, yet often is misunderstood. It's a word that can be the difference between success and failure, and a word that can lead to our own unraveling as professionals and as an organization.","Marshall Cannon, ContributorMarketing professional",2015-04-17
"Women in Business Q&A: Sabrina Parsons, CEO of Palo Alto Software",,"Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2015-04-17
The Art and Science of Team Optimization,"The world needs three types of leaders: artistic, scientific and interpersonal. And the world needs them to work together to change feelings, knowledge and behaviors as a team. Their initial joining up or onboarding is one of the crucibles of leadership.","George Bradt, ContributorChairman, PrimeGenesis",2015-04-15
"Happy Workers, Happy Meals: The Strategic Case For Higher Wages At McDonald's","If McDonald's can no longer differentiate itself on price or quality, it needs a bold strategy -- or it will go out of business. McDonald's smart move will be to compete on profits -- not by cutting prices, but by raising wages.","Louis Hyman, ContributorHistorian, Cornell University",2015-04-15
Eight Percent Tax Free With a Government Guarantee,"Puerto Rico, though it is not a state, has the privilege of issuing municipal bonds. Interest on those bonds is free from U.S. taxes. Typical municipal bonds pay 3 percent returns these days. But Puerto Rico's municipal bonds pay 8 percent or more.","Robert Rosenkranz, ContributorCEO, Professional Investor and Chairman, Intelligence Squared ...",2015-04-14
TheFuturein5 Episode 30: Why Uber is Not Really in The Transportation Business,"In this episode of the Future in 5, I talk about why Uber is not really in the transportation business. I'm a very frequent Uber user. Every time I go to a conference or speak at an event -- which is fairly often -- I take the UberBlack car.","Jacob Morgan, ContributorAuthor, The Future of Work, Speaker, Futurist",2015-04-14
How You Can Master Social Selling to Get in Front of Any Customer,If you run a small-business or a small marketing team you can't market like McDonalds or probably even your largest competitor. So why bother trying?,"Sajeel Qureshi, ContributorVice President of Operations, Computan",2015-04-13
The High Cost of Fighting for $15,"Raises would, of course, cost these billion-dollar corporations something. More costly, though, is the price paid by minimum-wage workers who have not received a raise in six years.  Even more dear is what these workers have paid for their campaign to get raises. Managers have harassed, threatened and fired them.","Leo W. Gerard, ContributorInternational President, United Steelworkers",2015-04-13
